Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-09-30,Short,Closed End of Day,7899.15,7947.25,65.0,2015-09-30 15:15:00
2015-10-01,Short,Closed End of Day,7990.45,7947.1,43.35,2015-10-01 15:15:00
2015-10-05,Short,Closed End of Day,8051.45,8126.4,43.35,2015-10-05 15:15:00
2015-10-06,Short,Closed End of Day,8123.0,8148.55,43.35,2015-10-06 15:15:00
2015-10-07,Short,Closed End of Day,8174.75,8182.4,43.35,2015-10-07 15:15:00
2015-10-08,Short,Closed End of Day,8150.1,8127.7,22.4,2015-10-08 15:15:00
2015-10-09,Short,Closed End of Day,8218.15,8178.0,40.15,2015-10-09 15:15:00
2015-10-12,Short,Closed End of Day,8219.15,8144.25,74.9,2015-10-12 15:15:00
2015-10-13,Short,Closed End of Day,8126.75,8128.15,74.9,2015-10-13 15:15:00
2015-10-14,Short,Closed End of Day,8130.85,8108.7,22.15,2015-10-14 15:15:00
2015-10-15,Short,Closed End of Day,8172.2,8178.75,22.15,2015-10-15 15:15:00
2015-10-16,Short,Closed End of Day,8170.35,8241.5,22.15,2015-10-16 15:15:00
2015-10-19,Short,Closed End of Day,8246.05,8271.55,22.15,2015-10-19 15:15:00
2015-10-20,Short,Closed End of Day,8283.05,8253.6,29.45,2015-10-20 15:15:00
2015-10-21,Short,Closed End of Day,8288.4,8249.1,39.3,2015-10-21 15:15:00
2015-10-23,Short,Closed End of Day,8308.9,8296.85,12.05,2015-10-23 15:15:00
2015-10-26,Short,Closed End of Day,8293.0,8254.5,38.5,2015-10-26 15:15:00
2015-10-27,Short,Closed End of Day,8232.7,8227.85,4.85,2015-10-27 15:15:00
2015-10-28,Short,Closed End of Day,8203.8,8177.2,26.6,2015-10-28 15:15:00
2015-10-29,Short,Closed End of Day,8153.2,8118.7,34.5,2015-10-29 15:15:00
2015-10-30,Short,Closed End of Day,8115.05,8056.35,58.7,2015-10-30 15:15:00
2015-11-02,Short,Closed End of Day,8024.75,8050.95,58.7,2015-11-02 15:15:00
2015-11-03,Short,Closed End of Day,8081.4,8047.9,33.5,2015-11-03 15:15:00
2015-11-04,Short,Closed End of Day,8088.2,8030.35,57.85,2015-11-04 15:15:00
2015-11-05,Short,Closed End of Day,8001.7,7947.95,53.75,2015-11-05 15:15:00
2015-11-06,Short,Closed End of Day,7954.15,7962.15,53.75,2015-11-06 15:15:00
2015-11-09,Short,Closed End of Day,7865.45,7911.35,53.75,2015-11-09 15:15:00
2015-11-10,Short,Closed End of Day,7857.65,7783.45,74.2,2015-11-10 15:15:00
2015-11-13,Short,Closed End of Day,7759.0,7761.1,74.2,2015-11-13 15:15:00
2015-11-16,Short,SL Hit,7728.9,7828.9,-100.0,2015-11-16 14:30:00
2015-11-17,Short,Closed End of Day,7826.25,7830.35,74.2,2015-11-17 15:15:00
2015-11-18,Short,Closed End of Day,7824.65,7729.05,95.6,2015-11-18 15:15:00
2015-11-19,Short,Closed End of Day,7781.65,7844.75,95.6,2015-11-19 15:15:00
2015-11-20,Short,Closed End of Day,7820.4,7851.8,95.6,2015-11-20 15:15:00
2015-11-23,Short,Closed End of Day,7862.25,7847.55,14.7,2015-11-23 15:15:00
2015-11-24,Short,Closed End of Day,7861.3,7832.4,28.9,2015-11-24 15:15:00
2015-11-26,Short,Closed End of Day,7877.05,7892.55,28.9,2015-11-26 15:15:00
2015-11-27,Short,Closed End of Day,7922.9,7945.65,28.9,2015-11-27 15:15:00
2015-11-30,Short,Closed End of Day,7937.15,7939.5,28.9,2015-11-30 15:15:00
2015-12-01,Short,Closed End of Day,7957.95,7955.15,2.8,2015-12-01 15:15:00
2015-12-02,Short,Closed End of Day,7954.45,7924.25,30.2,2015-12-02 15:15:00
2015-12-03,Short,Closed End of Day,7889.85,7865.5,24.35,2015-12-03 15:15:00
2015-12-04,Short,Closed End of Day,7805.1,7787.7,17.4,2015-12-04 15:15:00
2015-12-07,Short,Closed End of Day,7797.75,7765.5,32.25,2015-12-07 15:15:00
2015-12-08,Short,Closed End of Day,7758.5,7690.3,68.2,2015-12-08 15:15:00
2015-12-09,Short,Closed End of Day,7682.45,7618.25,64.2,2015-12-09 15:15:00
2015-12-10,Short,Closed End of Day,7630.3,7682.55,64.2,2015-12-10 15:15:00
2015-12-11,Short,Closed End of Day,7671.4,7610.1,61.3,2015-12-11 15:15:00
2015-12-14,Short,Closed End of Day,7611.1,7659.25,61.3,2015-12-14 15:15:00
2015-12-15,Short,Closed End of Day,7641.55,7692.6,61.3,2015-12-15 15:15:00
2015-12-16,Short,Closed End of Day,7756.05,7751.65,4.4,2015-12-16 15:15:00
2015-12-17,Short,Closed End of Day,7759.5,7838.4,4.4,2015-12-17 15:15:00
2015-12-18,Short,Closed End of Day,7814.4,7763.05,51.35,2015-12-18 15:15:00
2015-12-21,Short,Closed End of Day,7787.7,7830.6,51.35,2015-12-21 15:15:00
2015-12-22,Short,Closed End of Day,7823.3,7787.25,36.05,2015-12-22 15:15:00
2015-12-23,Short,Closed End of Day,7854.3,7862.5,36.05,2015-12-23 15:15:00
2015-12-24,Short,Closed End of Day,7862.35,7863.0,36.05,2015-12-24 15:15:00
2015-12-28,Short,Closed End of Day,7901.25,7917.4,36.05,2015-12-28 15:15:00
2015-12-29,Short,Closed End of Day,7929.75,7930.3,36.05,2015-12-29 15:15:00
2015-12-30,Short,Closed End of Day,7930.15,7895.1,35.05,2015-12-30 15:15:00
2015-12-31,Short,Closed End of Day,7900.8,7939.75,35.05,2015-12-31 15:15:00
2016-01-01,Short,Closed End of Day,7931.0,7957.45,35.05,2016-01-01 15:15:00
2016-01-04,Short,Closed End of Day,7885.65,7789.15,96.5,2016-01-04 15:15:00
2016-01-05,Short,Closed End of Day,7808.6,7779.0,29.6,2016-01-05 15:15:00
2016-01-06,Short,Closed End of Day,7770.6,7733.4,37.2,2016-01-06 15:15:00
2016-01-07,Short,Closed End of Day,7628.8,7569.65,59.15,2016-01-07 15:15:00
2016-01-08,Short,Closed End of Day,7596.85,7607.15,59.15,2016-01-08 15:15:00
2016-01-11,Short,Closed End of Day,7526.85,7572.1,59.15,2016-01-11 15:15:00
2016-01-12,Short,Closed End of Day,7556.35,7510.65,45.7,2016-01-12 15:15:00
2016-01-13,Short,Closed End of Day,7576.3,7556.65,19.65,2016-01-13 15:15:00
2016-01-14,Short,SL Hit,7484.3,7584.3,-100.0,2016-01-14 13:15:00
2016-01-15,Short,Closed End of Day,7533.0,7433.95,99.05,2016-01-15 15:15:00
2016-01-18,Short,Closed End of Day,7408.4,7351.15,57.25,2016-01-18 15:15:00
2016-01-19,Short,Closed End of Day,7397.4,7440.05,57.25,2016-01-19 15:15:00
2016-01-20,Short,SL Hit,7314.65,7414.65,-100.0,2016-01-20 09:15:00
2016-01-21,Short,Closed End of Day,7333.05,7280.05,53.0,2016-01-21 15:15:00
2016-01-22,Short,Closed End of Day,7373.35,7422.9,53.0,2016-01-22 15:15:00
2016-01-25,Short,Closed End of Day,7475.5,7436.4,39.1,2016-01-25 15:15:00
2016-01-27,Short,Closed End of Day,7440.55,7431.35,9.2,2016-01-27 15:15:00
2016-01-28,Short,Closed End of Day,7431.0,7426.6,4.4,2016-01-28 15:15:00
2016-01-29,Short,SL Hit,7455.45,7555.45,-100.0,2016-01-29 15:00:00
2016-02-01,Short,Closed End of Day,7581.25,7549.45,31.8,2016-02-01 15:15:00
2016-02-02,Short,Closed End of Day,7556.35,7440.7,115.65,2016-02-02 15:15:00
2016-02-03,Short,Closed End of Day,7391.45,7373.3,18.15,2016-02-03 15:15:00
2016-02-04,Short,Closed End of Day,7400.9,7412.8,18.15,2016-02-04 15:15:00
2016-02-05,Short,Closed End of Day,7429.8,7500.1,18.15,2016-02-05 15:15:00
2016-02-08,Short,Closed End of Day,7487.95,7365.05,122.9,2016-02-08 15:15:00
2016-02-09,Short,Closed End of Day,7311.15,7301.0,10.15,2016-02-09 15:15:00
2016-02-10,Short,Closed End of Day,7240.45,7220.25,20.2,2016-02-10 15:15:00
2016-02-11,Short,Closed End of Day,7152.65,6975.7,176.95,2016-02-11 15:15:00
2016-02-12,Short,Closed End of Day,6954.15,6970.55,176.95,2016-02-12 15:15:00
2016-02-15,Short,Closed End of Day,7126.75,7158.2,176.95,2016-02-15 15:15:00
2016-02-16,Short,Closed End of Day,7129.7,7044.6,85.1,2016-02-16 15:15:00
2016-02-17,Short,SL Hit,6971.95,7071.95,-100.0,2016-02-17 14:15:00
2016-02-18,Short,Closed End of Day,7188.5,7178.5,10.0,2016-02-18 15:15:00
2016-02-19,Short,Closed End of Day,7174.75,7202.0,10.0,2016-02-19 15:15:00
2016-02-22,Short,Closed End of Day,7229.6,7232.9,10.0,2016-02-22 15:15:00
2016-02-23,Short,Closed End of Day,7174.25,7094.55,79.7,2016-02-23 15:15:00
2016-02-24,Short,Closed End of Day,7075.4,7020.45,54.95,2016-02-24 15:15:00
2016-02-25,Short,Closed End of Day,7019.25,6983.4,35.85,2016-02-25 15:15:00
2016-03-17,Short,Closed End of Day,7569.5,7489.6,79.9,2016-03-17 15:15:00
2016-03-18,Short,Closed End of Day,7555.85,7600.6,79.9,2016-03-18 15:15:00
